ssid,floorid,source,channel,signal_strength
1,1,cap1,2457,1
1,1,cap1,2462,4
1,1,cap2,2452,2
1,1,cap2,2457,1
1,1,cap2,2462,1
1,4,cap1,2462,3
1,4,cap2,2462,2
1,7,cap1,2462,4
1,7,cap2,2462,4
1,10,cap1,2462,1
1,13,cap1,2462,3
1,13,cap2,2462,2
1,16,cap1,2457,1
1,16,cap1,2462,3
1,16,cap2,2457,1
1,16,cap2,2462,2
1,19,cap1,2462,1
1,19,cap2,2462,3
1,22,cap1,2462,2
1,22,cap2,2457,1
1,25,cap1,2462,5
1,25,cap2,2462,2
1,28,cap1,2462,1
1,28,cap2,2457,1
1,28,cap2,2462,1
1,31,cap1,2462,2
1,31,cap2,2457,1
1,31,cap2,2462,1
1,34,cap1,2457,1
1,34,cap1,2462,2
1,34,cap2,2462,1
1,37,cap1,2462,1
1,37,cap2,2462,3
1,40,cap1,2462,2
1,40,cap2,2462,3
1,43,cap1,2457,1
1,43,cap1,2462,2
1,43,cap2,2462,3
1,46,cap1,2462,2
1,46,cap2,2457,2
1,49,cap1,2462,4
1,49,cap2,2462,2
1,52,cap1,2462,2
1,52,cap2,2462,2
1,55,cap1,2452,1
1,55,cap1,2462,1
1,55,cap2,2462,2
1,58,cap1,2457,1
1,58,cap1,2462,3
1,58,cap2,2462,2
1,61,cap1,2462,4
1,61,cap2,2462,2
1,61,cap3,2462,3
1,64,cap1,2462,2
1,64,cap2,2457,3
1,64,cap2,2462,1
1,67,cap1,2452,1
1,67,cap1,2462,2
1,67,cap2,2452,1
1,67,cap2,2457,1
1,67,cap2,2462,2
1,70,cap1,2462,3
1,70,cap2,2457,1
1,70,cap2,2462,1
1,70,cap3,2462,1
1,73,cap1,2462,2
1,73,cap2,2452,1
1,73,cap2,2457,1
1,73,cap2,2462,2
1,76,cap1,2462,4
1,76,cap2,2462,1
1,79,cap1,2462,4
1,79,cap2,2462,1
1,79,cap3,2462,4
1,103,cap1,2437,1
1,103,cap1,2447,1
1,103,cap2,2432,1
1,103,cap2,2437,1
1,103,cap2,2442,1
1,106,cap1,2437,1
1,106,cap1,2447,1
1,106,cap2,2437,1
1,106,cap2,2442,1
1,106,cap2,2447,1
1,106,cap3,2437,4
1,109,cap1,2442,2
1,109,cap2,2437,1
1,109,cap3,2437,3
1,109,cap3,2442,1
1,112,cap1,2452,1
1,112,cap2,2437,1
1,112,cap2,2442,1
1,112,cap2,2447,2
1,112,cap3,2437,2
1,115,cap1,2442,1
1,115,cap2,2437,1
1,115,cap2,2442,1
1,115,cap3,2437,2
1,118,cap1,2442,1
1,118,cap1,2447,1
1,118,cap2,2442,2
1,118,cap3,2437,1
1,121,cap1,2442,1
1,121,cap2,2432,2
1,121,cap2,2442,2
1,124,cap1,2442,1
1,124,cap2,2437,1
1,124,cap3,2437,3
1,127,cap2,2427,1
1,127,cap2,2432,1
1,127,cap3,2437,1
1,130,cap2,2437,1
1,130,cap2,2452,1
1,130,cap3,2432,1
1,130,cap3,2437,1
1,133,cap1,2442,1
1,133,cap2,2442,2
1,133,cap2,2447,1
1,133,cap3,2437,3
1,136,cap1,2427,1
1,136,cap1,2442,2
1,136,cap2,2437,1
1,136,cap2,2447,1
1,136,cap3,2437,1
1,139,cap2,2437,1
1,139,cap3,2437,2
1,142,cap1,2442,3
1,142,cap2,2432,1
1,142,cap2,2442,2
1,142,cap3,2432,1
1,145,cap1,2437,1
1,145,cap2,2432,1
1,145,cap2,2437,1
1,145,cap2,2442,1
1,145,cap3,2437,1
1,145,cap3,2442,1
1,148,cap1,2452,1
1,148,cap2,2432,1
1,148,cap2,2442,2
1,148,cap3,2437,3
1,148,cap3,2442,1
1,151,cap1,2442,2
1,151,cap2,2442,1
1,151,cap2,2447,1
1,151,cap3,2432,1
1,151,cap3,2437,4
1,154,cap1,2442,1
1,154,cap2,2437,1
1,154,cap2,2442,2
1,154,cap2,2447,1
1,154,cap3,2437,2
1,154,cap3,2442,1
1,157,cap2,2437,1
1,157,cap2,2442,1
1,157,cap3,2442,1
1,160,cap2,2427,1
1,160,cap2,2442,1
1,160,cap2,2447,1
1,160,cap3,2437,1
1,160,cap3,2442,1
1,163,cap1,2437,1
1,163,cap2,2427,2
1,163,cap2,2437,2
1,163,cap3,2432,1
1,163,cap3,2437,2
1,166,cap1,2442,1
1,166,cap2,2427,1
1,166,cap2,2432,2
1,166,cap2,2437,2
1,166,cap3,2432,1
1,166,cap3,2437,1
1,166,cap3,2442,1
1,169,cap2,2432,1
1,169,cap2,2437,2
1,169,cap3,2442,1
1,172,cap1,2442,1
1,172,cap2,2442,1
1,172,cap3,2437,2
1,172,cap3,2442,1
1,175,cap1,2442,2
1,175,cap2,2447,1
1,175,cap3,2437,2
1,175,cap3,2442,2
1,178,cap1,2442,1
1,178,cap3,2432,1
1,178,cap3,2442,2
1,181,cap2,2437,2
1,181,cap2,2442,2
1,181,cap3,2437,2
1,181,cap3,2442,1
1,184,cap1,2442,1
1,184,cap1,2447,2
1,184,cap2,2442,1
1,184,cap3,2442,2
1,187,cap1,2447,1
1,187,cap2,2442,1
1,187,cap3,2437,1
1,190,cap1,2412,4
1,190,cap2,2412,5
1,190,cap3,2417,4
1,190,cap3,2422,1
1,193,cap3,2432,1
1,193,cap3,2437,4
1,193,cap3,2442,3
1,196,cap3,2427,1
1,196,cap3,2432,1
1,196,cap3,2437,1
1,196,cap3,2457,1
1,196,cap3,2462,1
1,199,cap3,2457,4
1,199,cap3,2462,1
1,202,cap1,2452,2
1,202,cap3,2452,1
1,202,cap3,2457,1
1,202,cap3,2462,1
1,205,cap1,2452,2
1,205,cap3,2457,1
1,205,cap3,2462,1
1,208,cap3,2452,1
1,208,cap3,2457,2
1,208,cap3,2462,4
1,211,cap1,2452,1
1,211,cap3,2452,1
1,211,cap3,2457,2
1,211,cap3,2462,1
1,214,cap3,2412,1
1,214,cap3,2417,3
1,214,cap3,2422,2
1,217,cap1,2412,2
1,217,cap1,2417,1
1,217,cap3,2412,1
1,217,cap3,2417,3
1,220,cap3,2412,1
1,220,cap3,2417,5
1,220,cap3,2422,3
1,223,cap3,2417,2
1,223,cap3,2422,1
1,226,cap3,2417,2
1,226,cap3,2422,2
1,229,cap3,2417,3
1,229,cap3,2422,1
1,232,cap3,2412,1
1,232,cap3,2417,3
1,232,cap3,2422,1
1,235,cap1,2412,3
1,235,cap3,2412,1
1,235,cap3,2417,2
1,235,cap3,2422,1
1,238,cap3,2457,1
1,238,cap3,2462,5
1,241,cap1,2462,2
1,241,cap3,2462,6
1,244,cap1,2462,1
1,244,cap3,2457,1
1,244,cap3,2462,5
1,247,cap3,2457,2
1,247,cap3,2462,4
1,250,cap3,2447,1
1,253,cap3,2447,2
1,253,cap3,2452,2
1,256,cap3,2452,2
1,259,cap3,2447,2
1,259,cap3,2452,2
1,262,cap3,2452,1
1,265,cap3,2447,1
1,265,cap3,2457,1
1,268,cap1,2442,1
1,268,cap3,2447,1
1,268,cap3,2452,1
1,271,cap3,2447,3
1,271,cap3,2452,1
1,274,cap1,2442,1
1,274,cap3,2447,1
1,274,cap3,2457,1
1,277,cap1,2427,1
1,277,cap1,2432,1
1,277,cap3,2432,1
1,277,cap3,2437,1
1,277,cap3,2442,1
1,280,cap3,2447,1
1,283,cap1,2442,1
1,283,cap1,2447,1
1,283,cap3,2447,2
1,286,cap3,2442,1
1,286,cap3,2447,1
1,286,cap3,2452,2
1,286,cap3,2457,2
1,289,cap3,2442,1
1,289,cap3,2447,2
1,292,cap1,2417,4
1,292,cap2,2412,1
1,292,cap3,2412,1
1,292,cap3,2427,3
1,295,cap1,2412,1
1,295,cap1,2417,1
1,295,cap3,2412,1
1,295,cap3,2417,2
1,298,cap1,2417,1
1,298,cap3,2412,1
1,298,cap3,2417,1
1,298,cap3,2427,2
1,301,cap3,2412,2
1,301,cap3,2417,2
1,301,cap3,2427,4
1,304,cap1,2417,1
1,304,cap1,2422,1
1,304,cap3,2427,2
1,307,cap1,2412,1
1,307,cap1,2417,1
1,307,cap3,2422,1
1,307,cap3,2427,1
1,310,cap3,2427,2
1,313,cap3,2412,1
1,313,cap3,2417,2
1,313,cap3,2422,1
1,316,cap3,2412,1
1,316,cap3,2417,2
1,316,cap3,2427,1
1,319,cap3,2412,1
1,319,cap3,2427,4
1,322,cap1,2417,3
1,322,cap3,2422,3
1,322,cap3,2427,1
1,325,cap1,2417,1
1,325,cap3,2412,2
1,325,cap3,2427,1
1,328,cap1,2412,1
1,328,cap1,2417,2
1,328,cap3,2412,1
1,331,cap1,2412,1
1,331,cap1,2417,5
1,331,cap1,2422,1
1,331,cap3,2412,1
1,334,cap1,2422,1
1,334,cap2,2412,1
1,334,cap3,2427,1
1,337,cap3,2422,1
1,337,cap3,2427,2
1,340,cap1,2417,2
1,340,cap1,2422,1
1,340,cap3,2412,1
1,340,cap3,2417,1
1,340,cap3,2427,5
1,343,cap1,2417,1
1,343,cap2,2412,3
1,343,cap3,2412,1
1,343,cap3,2417,1
1,343,cap3,2427,3
1,346,cap1,2417,1
1,346,cap1,2422,3
1,346,cap3,2427,2
1,349,cap1,2412,2
1,349,cap3,2427,5
1,352,cap3,2422,2
1,355,cap1,2432,4
1,355,cap1,2437,3
1,355,cap1,2442,1
1,355,cap2,2437,1
1,355,cap3,2437,2
1,355,cap3,2442,2
1,355,cap3,2447,1
1,358,cap1,2427,1
1,358,cap1,2432,2
1,358,cap2,2432,1
1,361,cap1,2432,1
1,361,cap3,2437,1
1,361,cap3,2442,1
1,361,cap3,2447,2
1,364,cap2,2432,1
1,367,cap1,2432,1
1,367,cap3,2412,1
1,370,cap1,2427,2
1,370,cap1,2432,3
1,370,cap1,2437,2
1,370,cap2,2432,4
1,370,cap3,2432,1
1,370,cap3,2437,2
1,373,cap1,2437,4
1,373,cap1,2442,2
1,373,cap2,2427,1
1,373,cap2,2432,4
1,373,cap3,2447,1
1,376,cap1,2432,7
1,376,cap2,2432,3
1,376,cap3,2447,3
2,1,cap1,2462,4
2,1,cap2,2462,5
2,4,cap1,2457,1
2,4,cap1,2462,2
2,4,cap2,2462,3
2,7,cap1,2462,3
2,7,cap2,2462,1
2,10,cap2,2457,1
2,10,cap2,2462,1
2,13,cap1,2462,3
2,13,cap2,2462,2
2,16,cap1,2462,4
2,16,cap2,2462,2
2,19,cap1,2412,1
2,19,cap2,2417,3
2,19,cap2,2422,1
2,22,cap1,2462,1
2,22,cap2,2457,1
2,22,cap2,2462,1
2,25,cap1,2462,3
2,25,cap2,2462,1
2,28,cap1,2462,2
2,28,cap2,2457,1
2,28,cap2,2462,1
2,31,cap1,2462,2
2,31,cap2,2462,1
2,34,cap1,2457,1
2,34,cap1,2462,2
2,34,cap2,2462,2
2,37,cap1,2462,2
2,37,cap2,2462,3
2,40,cap1,2462,3
2,40,cap2,2462,2
2,43,cap1,2462,4
2,43,cap2,2462,3
2,46,cap1,2462,1
2,46,cap2,2462,4
2,49,cap1,2462,3
2,49,cap2,2457,1
2,49,cap2,2462,1
2,52,cap1,2462,2
2,52,cap2,2457,1
2,52,cap2,2462,1
2,55,cap1,2412,1
2,55,cap1,2417,2
2,55,cap2,2417,4
2,58,cap1,2417,4
2,58,cap1,2422,1
2,58,cap2,2417,3
2,58,cap2,2422,1
2,61,cap1,2462,3
2,61,cap2,2462,3
2,64,cap1,2417,2
2,64,cap2,2412,2
2,64,cap2,2417,2
2,67,cap1,2412,1
2,67,cap1,2417,1
2,67,cap2,2412,1
2,67,cap2,2417,3
2,70,cap1,2457,1
2,70,cap1,2462,4
2,70,cap2,2462,3
2,70,cap3,2462,1
2,73,cap1,2412,2
2,73,cap1,2417,1
2,73,cap1,2422,1
2,73,cap2,2417,2
2,76,cap1,2417,3
2,76,cap2,2417,3
2,79,cap1,2462,3
2,79,cap2,2462,3
2,79,cap3,2462,1
2,103,cap1,2462,3
2,103,cap2,2462,1
2,103,cap3,2457,1
2,103,cap3,2462,1
2,106,cap1,2462,3
2,106,cap2,2462,1
2,106,cap3,2462,3
2,109,cap1,2462,3
2,109,cap2,2457,1
2,109,cap2,2462,3
2,112,cap1,2442,2
2,112,cap1,2462,1
2,112,cap2,2437,1
2,112,cap2,2462,1
2,112,cap3,2442,2
2,115,cap1,2462,2
2,115,cap2,2462,3
2,115,cap3,2462,2
2,118,cap1,2462,4
2,118,cap2,2457,1
2,118,cap2,2462,1
2,121,cap1,2442,2
2,121,cap2,2442,1
2,121,cap2,2457,1
2,121,cap2,2462,1
2,121,cap3,2442,1
2,121,cap3,2457,1
2,121,cap3,2462,2
2,124,cap1,2442,1
2,124,cap2,2457,1
2,124,cap2,2462,1
2,124,cap3,2457,1
2,124,cap3,2462,2
2,127,cap1,2447,1
2,127,cap1,2462,1
2,127,cap2,2462,5
2,127,cap3,2462,2
2,130,cap1,2462,4
2,130,cap2,2462,2
2,130,cap3,2457,1
2,130,cap3,2462,3
2,133,cap1,2457,1
2,133,cap1,2462,2
2,133,cap2,2462,4
2,133,cap3,2462,1
2,136,cap1,2462,3
2,136,cap2,2457,1
2,136,cap2,2462,1
2,136,cap3,2462,4
2,139,cap1,2462,1
2,139,cap2,2462,2
2,139,cap3,2462,4
2,142,cap1,2462,2
2,142,cap2,2457,1
2,142,cap2,2462,2
2,142,cap3,2462,2
2,145,cap1,2462,3
2,145,cap2,2462,1
2,145,cap3,2457,1
2,145,cap3,2462,2
2,148,cap1,2462,1
2,148,cap2,2452,1
2,148,cap2,2457,2
2,148,cap2,2462,2
2,148,cap3,2462,4
2,151,cap1,2462,3
2,151,cap2,2457,1
2,151,cap2,2462,4
2,151,cap3,2457,1
2,151,cap3,2462,3
2,154,cap1,2462,1
2,154,cap2,2457,3
2,154,cap2,2462,2
2,154,cap3,2462,1
2,157,cap1,2462,2
2,157,cap2,2457,1
2,157,cap2,2462,2
2,157,cap3,2462,3
2,160,cap1,2462,2
2,160,cap2,2462,3
2,160,cap3,2462,3
2,163,cap1,2462,3
2,163,cap2,2457,1
2,163,cap2,2462,2
2,163,cap3,2462,3
2,166,cap1,2462,2
2,166,cap2,2462,3
2,166,cap3,2462,2
2,169,cap1,2447,1
2,169,cap1,2457,1
2,169,cap1,2462,2
2,169,cap2,2462,5
2,169,cap3,2457,1
2,169,cap3,2462,2
2,172,cap1,2442,1
2,172,cap1,2447,1
2,172,cap2,2437,1
2,172,cap2,2442,3
2,172,cap3,2432,2
2,172,cap3,2437,1
2,175,cap1,2447,1
2,175,cap2,2437,1
2,175,cap2,2442,2
2,175,cap3,2437,3
2,178,cap1,2447,1
2,178,cap2,2442,2
2,178,cap3,2437,3
2,178,cap3,2442,1
2,181,cap1,2442,1
2,181,cap2,2437,1
2,181,cap3,2437,3
2,184,cap1,2442,1
2,184,cap2,2442,1
2,184,cap2,2447,1
2,184,cap3,2437,1
2,187,cap2,2452,1
2,187,cap3,2437,3
2,190,cap1,2452,3
2,190,cap2,2452,1
2,190,cap3,2457,2
2,193,cap3,2447,1
2,193,cap3,2452,1
2,193,cap3,2457,4
2,193,cap3,2462,2
2,196,cap3,2452,1
2,196,cap3,2457,1
2,196,cap3,2462,1
2,199,cap1,2452,1
2,199,cap3,2457,5
2,202,cap1,2452,1
2,202,cap1,2457,1
2,202,cap2,2452,2
2,202,cap3,2457,4
2,202,cap3,2462,1
2,205,cap1,2452,3
2,205,cap3,2452,1
2,205,cap3,2457,3
2,205,cap3,2462,1
2,208,cap3,2457,1
2,208,cap3,2462,1
2,211,cap1,2452,2
2,211,cap3,2452,2
2,211,cap3,2457,2
2,211,cap3,2462,1
2,214,cap3,2417,4
2,214,cap3,2422,3
2,217,cap3,2412,1
2,217,cap3,2417,2
2,217,cap3,2422,2
2,220,cap1,2412,2
2,220,cap1,2417,3
2,220,cap3,2422,4
2,223,cap1,2412,1
2,223,cap3,2412,2
2,223,cap3,2417,1
2,223,cap3,2427,4
2,226,cap1,2412,1
2,226,cap3,2412,1
2,229,cap1,2412,5
2,229,cap1,2417,3
2,229,cap3,2412,1
2,229,cap3,2422,1
2,229,cap3,2427,2
2,232,cap3,2417,3
2,232,cap3,2422,3
2,235,cap3,2417,3
2,235,cap3,2427,1
2,238,cap1,2412,1
2,238,cap3,2417,2
2,238,cap3,2422,2
2,241,cap1,2412,3
2,241,cap3,2417,1
2,241,cap3,2427,2
2,244,cap1,2412,1
2,244,cap3,2422,3
2,244,cap3,2427,1
2,247,cap1,2412,2
2,247,cap1,2417,1
2,247,cap3,2412,1
2,247,cap3,2417,1
2,247,cap3,2422,3
2,247,cap3,2427,1
2,250,cap3,2412,1
2,250,cap3,2417,3
2,250,cap3,2422,1
2,253,cap1,2412,1
2,253,cap3,2412,1
2,253,cap3,2417,1
2,256,cap1,2412,2
2,256,cap3,2422,4
2,259,cap3,2417,3
2,259,cap3,2422,2
2,262,cap1,2412,1
2,262,cap3,2412,1
2,262,cap3,2417,2
2,262,cap3,2422,2
2,265,cap1,2412,2
2,265,cap3,2417,2
2,268,cap1,2412,4
2,268,cap1,2417,2
2,268,cap2,2412,1
2,268,cap3,2412,1
2,268,cap3,2417,2
2,271,cap1,2412,4
2,271,cap3,2412,1
2,271,cap3,2417,3
2,271,cap3,2422,1
2,271,cap3,2427,1
2,274,cap1,2412,1
2,274,cap1,2417,1
2,274,cap3,2417,2
2,274,cap3,2422,1
2,277,cap1,2417,2
2,277,cap3,2417,1
2,277,cap3,2422,1
2,277,cap3,2427,1
2,280,cap1,2412,2
2,280,cap3,2417,1
2,280,cap3,2422,1
2,283,cap1,2412,2
2,283,cap3,2412,1
2,283,cap3,2417,3
2,283,cap3,2427,1
2,286,cap3,2417,4
2,286,cap3,2422,4
2,289,cap1,2412,2
2,289,cap3,2417,3
2,289,cap3,2422,3
2,292,cap3,2412,1
2,292,cap3,2417,2
2,292,cap3,2427,3
2,295,cap1,2412,1
2,295,cap2,2412,2
2,295,cap3,2412,1
2,295,cap3,2427,2
2,298,cap3,2417,2
2,298,cap3,2422,1
2,301,cap3,2412,1
2,301,cap3,2417,2
2,301,cap3,2427,3
2,304,cap3,2412,1
2,304,cap3,2417,2
2,304,cap3,2427,3
2,307,cap3,2427,2
2,313,cap3,2412,1
2,313,cap3,2417,1
2,313,cap3,2422,3
2,316,cap1,2417,3
2,316,cap1,2422,3
2,316,cap2,2412,1
2,316,cap3,2417,2
2,316,cap3,2427,3
2,319,cap3,2412,1
2,319,cap3,2427,4
2,322,cap3,2412,1
2,322,cap3,2417,2
2,322,cap3,2422,2
2,325,cap3,2412,1
2,325,cap3,2417,1
2,328,cap1,2417,4
2,328,cap3,2417,3
2,328,cap3,2427,1
2,331,cap1,2417,1
2,331,cap3,2412,2
2,331,cap3,2417,1
2,331,cap3,2427,3
2,334,cap1,2417,2
2,334,cap2,2412,3
2,334,cap2,2417,1
2,334,cap3,2417,1
2,334,cap3,2427,1
2,337,cap3,2422,3
2,337,cap3,2427,1
2,340,cap1,2412,1
2,340,cap3,2412,2
2,340,cap3,2427,2
2,343,cap1,2412,1
2,343,cap1,2417,1
2,343,cap1,2422,1
2,343,cap2,2412,1
2,343,cap3,2412,3
2,343,cap3,2427,3
2,346,cap1,2417,2
2,346,cap3,2412,2
2,346,cap3,2427,4
2,349,cap1,2412,1
2,349,cap1,2417,2
2,349,cap3,2412,1
2,349,cap3,2417,2
2,349,cap3,2427,4
2,352,cap3,2417,1
2,352,cap3,2422,2
2,352,cap3,2427,1
2,355,cap3,2417,1
2,355,cap3,2422,1
2,355,cap3,2427,2
2,358,cap1,2412,1
2,358,cap1,2417,5
2,358,cap2,2412,2
2,358,cap3,2412,1
2,358,cap3,2422,2
2,358,cap3,2427,1
2,361,cap1,2412,1
2,361,cap1,2417,5
2,361,cap2,2412,2
2,361,cap2,2417,1
2,361,cap3,2412,1
2,361,cap3,2417,1
2,361,cap3,2427,3
2,364,cap1,2412,1
2,364,cap1,2417,2
2,364,cap1,2422,1
2,364,cap2,2412,1
2,364,cap3,2437,2
2,367,cap1,2417,1
2,367,cap3,2412,2
2,367,cap3,2432,1
2,370,cap1,2412,2
2,370,cap1,2417,1
2,370,cap2,2412,1
2,370,cap2,2417,1
2,370,cap3,2417,2
2,370,cap3,2437,2
2,373,cap1,2412,1
2,373,cap1,2417,3
2,373,cap2,2412,2
2,373,cap2,2417,1
2,373,cap3,2417,1
2,373,cap3,2437,4
2,376,cap1,2412,1
2,376,cap1,2417,2
2,376,cap3,2412,1
2,376,cap3,2417,1
2,376,cap3,2427,3
